Ingredient SKU,Description,Order Unit,Cost Per Unit,MOQ,Primary Supplier ID,Primary Supplier Name
1236-3286,Yellow Onions,Each,0.5,20,SUP-108,Mountain Produce Co
1250-6521,Chipotle Sauce Base,Gallon,8.5,1,SUP-111,Frenchman's Condiment Co
1265-7539,Whole Wheat Tortillas (10-pack),Package,7.99,6,SUP-109,Faye's Bakery & Grains
1536-2267,Protein Bar Seasoning Mix,Package,1.99,12,SUP-121,Norton Spice & Seasonings
1869-7097,Greek Yogurt,Gallon,19.99,1,SUP-124,Valley Silver Dairy
2105-2073,Sriracha Sauce,Gallon,7.99,1,SUP-114,Hintz Foods
2207-9179,Flour Tortillas (12-pack),Bag,5.49,1,SUP-102,Bonzo Packaging & Wraps
2239-4594,Romaine Lettuce,Head,0.98,12,SUP-106,Dayshine Farms
2587-1017,Bell Pepper,Each,0.39,10,SUP-115,IdaFarm Dairy
2765-2073,Salsa,Gallon,12.99,2,SUP-120,New El Paseo Foods
2903-5971,Noodles,Box,79.85,1,SUP-113,Guiseppi's Fine Foods
3110-2573,Beef Patties,Box,49.99,1,SUP-101,Alcazar Specialty Imports
3443-2851,Crushed Tomatoes,Can,2.99,12,SUP-114,Hintz Foods
4586-5229,Dill Pickles,Jar,8.69,1,SUP-110,Flavorama Seasonings
4736-9663,Tomato Sauce,Can,1.49,24,SUP-114,Hintz Foods
5583-8272,Shredded Cheddar/Jack Blend,Brick,19.99,4,SUP-122,Smellamook Creamery
5648-5459,Mayonnaise,Gallon,14.99,1,SUP-114,Hintz Foods
5815-9215,Pizza Seasoning,Package,1.99,12,SUP-121,Norton Spice & Seasonings
5829-7101,Olive Slices,Can,2.99,12,SUP-110,Flavorama Seasonings
6184-2502,Corn Meal,Container,8.99,1,SUP-119,Mugiman Naturals
6358-1742,Parmesan Cheese,Can,5.5,2,SUP-105,Craftiness Kitchen Supply
6371-2006,Jalepeno Pepper Rings,Jar,4.99,1,SUP-116,Jala Jala Pepper Co
6745-4173,White Flour,Package,12.99,1,SUP-119,Mugiman Naturals
7473-5857,Taco Seasoning,Package,1.99,12,SUP-121,Norton Spice & Seasonings
7572-1618,Sausage,Package,8.99,3,SUP-123,Swineman's Specialty Meats
8110-9414,Peanut Butter,Package,29.99,1,SUP-104,Cattleman's Meats & Poultry
8428-3302,Roma Tomatoes,Each,0.6,24,SUP-103,Cal One Produce
8451-1937,Almond Milk,Package,8.47,1,SUP-118,Luigi's Italian Market
8704-6172,Flour Tortillas,Package,3.99,10,SUP-117,Jon Dulio Trading
9087-5650,Combo Lunch Meat,Box,39.99,1,SUP-112,Goodies Baking Supply
9171-1443,Oil,Gallon,7.49,6,SUP-107,Easson Foods
9319-9607,Brussell Sprouts,Package,4.44,1,SUP-115,IdaFarm Dairy
9686-6750,Tomato Paste,Can,1.49,24,SUP-114,Hintz Foods
